단어,주요뜻,메모,암기여부,저장날짜
contribute to,"~에 기부하다, 기여하다; ~의 원인이 되다.",,미암기,2012-03-19 11:40:35
cost-effective,"비용효과적인, 비용효율이 높은",,미암기,2012-03-19 11:40:18
take a look at,"~을 보다, 관찰하다.","1)My teacher took a look at him and went out.
선생님은 그를 힐끗 바라보고 밖으로 나가셨다

",미암기,2012-03-19 11:39:16
take a picture,사진을 찍다,"1)Let's take a picture here.
여기에서 사진을 찍자

",미암기,2012-03-19 11:39:06
all at on-ce,"갑자기, 다 한꺼번에","1)A nuclear explosion can destroy the world all at on-ce.
핵폭발은 세계를 모두 일제히 파괴시킬 수 있다

",미암기,2012-03-19 11:38:55
write to,…에게[편지 등을] 쓰다,"1)Did you write to your mother?
어머니아버지에게 편지를 썼니?
",미암기,2012-03-19 11:38:49
shake hands,"악수, 악수하다[with ‥]","1)Let us shake hands and be friends.
악수하고 친구가 되자
",미암기,2012-03-19 11:38:37
all day,"종일의, 하루 종일 걸리는","1)I was busy all day.
나는 하루종일 바빴다
",미암기,2012-03-19 11:38:07
in fact,"사실상, 사실은,사실에 있어서","1)In fact she is very smart.
[사실은 그녀는 매우 똑똑하다.]
",미암기,2012-03-19 11:37:59
lots of,많은,"1)Lots of roses were in the garden.
정원에 장미가 많이있다
",미암기,2012-03-19 11:37:01
be interested in,…흥미를 갖고 있다,"1)Are you interested in history?
역사에 흥미가 있니?
",미암기,2012-03-19 11:36:06
worry about,…에 대한 걱정,"1)Don't worry about it.
그것에 대해 걱정하지마 
",미암기,2012-03-19 11:35:56
a leave of absence,,,미암기,2012-03-19 11:34:36
Individually,"개인으로, 개별적으로",,미암기,2012-03-19 11:34:22
call,부르다|전화하다|말하다|요구하다|이름,"1)전화하다
",미암기,2012-03-18 12:23:21
president,대통령|사장|회장|총장|위원장,,미암기,2012-03-16 11:57:12
ancient,고대의|오래된|옛날의,"1)고대문명
",미암기,2012-03-12 21:08:44
aim,목표|목적|겨냥하다|노리다|조준하다,"1)표적을겨누다
",미암기,2012-03-10 09:05:42
propose,제안하다|제시하다|제의하다|청혼하다|신청하다,"1)We have proposed new car technologies.
우리는 신차기술들을 제안해 왔다.
",미암기,2012-03-02 08:45:45
cheer up,cause to feel happier or more cheerful,"1)격려하다; 기운이 나다; [명령문으로] 기운을 내라, 이겨라 
",미암기,2012-02-27 17:19:11
think about,"have on one's mind, think about actively","1)…에 관해 생각하다; 숙고하다 
",미암기,2012-02-27 17:19:11
be born,come into existence through birth,"1)태어나다 
be born rich[a poet]  부자[시인]로 태어나다 
",미암기,2012-02-27 17:19:11
look like,bear a physical resemblance to,"1)…와 [모양이] 비슷하다; …인 것 같이 보이다, …할 것 같다 
What does it look like?  어떻게 생긴 것이냐?/It looks likerain. 비가 올 것 같다./He looks like a philosopher. 그는 철학자 같은 풍채다. 
",미암기,2012-02-27 17:19:11
care for,"have a liking, fondness, or taste","1)take cafe of ~: 돌보다
",미암기,2012-02-27 17:19:11
yell at,…에게 호통치다,,미암기,2012-02-27 10:50:15
How are you?,안녕하십니까?,"1)How are you
",미암기,2012-02-27 10:49:33
Long time no see.,[구어] 오랜만입니다.,"1)Hello
",미암기,2012-02-27 10:49:33
called,[서술형용사] [이름이] …라고 불리는,,미암기,2012-02-27 10:49:33
in the hospital,영 입원[퇴원]하여,,미암기,2012-02-27 10:46:50
How often … ?,"몇 차례나, 몇 번이나",,미암기,2012-02-27 10:46:50
go well,"잘 가, 안녕히 가세요. [작별의 말]",,미암기,2012-02-27 10:46:50
because of …,"[[전치사로 써서]] …때문에[owing to] , ~이 원인이 되어",,미암기,2012-02-27 10:46:50
drive a person nuts,"…을 신경질나게 하다, 미칠 지경이 되게 하다",,미암기,2012-02-27 10:46:50
be tolerant of,"…을 견뎌 내다, …을 관용하다",,미암기,2012-02-27 10:41:46
get used to,…에 익숙해지다 =become used to,,미암기,2012-02-27 10:41:06
be full of,"…에 몰두하고 있다; …투성이다, …이 많다, 가득 차다",,미암기,2012-02-27 10:38:47
be aware of,"…을 알아채다, …을 알다",,미암기,2012-02-27 10:38:47
excuse me,실례합니다|잠깐만요|죄송합니다|저기요|여보세요,,미암기,2012-02-27 10:35:19
here,여기|이곳|이쪽|저기,"1)여기에[서], 이곳으로, [문두, 문미에 써서] 이 점에서
",미암기,2012-02-27 10:35:19
designer,디자이너|설계자,,미암기,2012-02-27 10:35:19
different,다른|여러 가지의|종류|별개의|독특한,,미암기,2012-02-27 10:35:19
funny,재미있는|웃기는|이상한|농담조의|유쾌한,"1)익살스런
",미암기,2012-02-27 10:35:19
spot,장소|발견하다|위|점|관광지,,미암기,2012-02-27 10:35:19
prescription,처방,"1)처방전[약국]
",미암기,2012-02-27 10:35:19
break out,발생하다|일어나다|벗어나다|탈출하다|탈옥하다,,미암기,2012-02-27 10:35:19
release,발표하다|개봉하다|발매하다|공개하다|방출하다,,미암기,2012-02-27 10:35:19
catch a cold,"=take a cold 감기 들다, 감기 걸리다","1)감기에걸리다
",미암기,2012-02-27 10:31:31
have[has] to+동사원형,‘~해야 한다’ ,"1)Ex&gt;We all have to go. 우리 모두 가야 해요.
",미암기,2012-02-24 15:55:47
had better+동사원형,‘~하는 편이 낫다.’라는 표현입니다.,"1)Ex&gt;You had better see a doctor. 
의사 선생님을 만나 보는 것이 좋겠네요.
",미암기,2012-02-24 15:53:40
So long.,"안녕[good-bye], 그럼 또! [윗사람에게는 쓰지 않는 것이 좋습니다.]",,미암기,2012-02-24 15:53:13
I will be seeing you.,"또 만나요, 다음에 봐요.",,미암기,2012-02-24 15:52:44
longer,"long[긴, 오래 걸리는]의 비교급 입니다. 더 멀고 긴, 더 오래 걸리는",,미암기,2012-02-24 15:49:38
a little,,,미암기,2012-02-24 15:48:52
It’s up to you,당신에게 달려 있습니다. ,,미암기,2012-02-24 15:48:24
next week,다음 주,,미암기,2012-02-24 15:47:57
Why don’t you+동사원형,‘~하지 그래요?’라는 제안의 표현입니다.,"1)Ex&gt;Why don't you call me when you get downtown? 
시내에 도착해서 나한테 전화해 줄래요?
",미암기,2012-02-24 15:43:23
thanks for,~에 대해 감사하다. 고마워하다.,"1)Thank you for your trouble. 수고하셨습니다.
",미암기,2012-02-24 15:24:10
be from,"[출처, 기원, 유래] ~에서 오다, ~으로부터 나오다, ~출신이다. Ex&gt;I’m from Korea. ","1)I'm from Pusan.
",미암기,2012-02-24 14:52:54
knowledge,지식|아는 것|인지|학식,"1)the Ministry of Knowledge Economy 
지식경제부
",미암기,2012-02-24 09:01:49
popular,인기 있는|유명한|대중의|국민의,"1)enjoyed by a lot of people
대중이 좋아하는
",미암기,2012-02-17 08:59:13
circle,원|서클|돌다|그룹|사회,,미암기,2012-02-17 08:58:05
usage,사용|활용|실태|용법|양상,"1)our family's water usage
우리 가족의 물 사용량
",미암기,2012-02-10 09:11:46
useful,유용한|쓸모 있는|유익한|도움이 되는|실용적인,,미암기,2012-02-10 09:11:26
conditional,조건부의,,미암기,2012-01-29 15:35:04
honor,명예|영광|경의|수여하다|상,,미암기,2012-01-29 15:34:02
carry out,수행하다|이행하다|실시하다|실행하다|실천하다,"1)You must carry out your first plan.
너의 처음 계획을 실행해야 한다.
",미암기,2012-01-27 08:49:56
particularly,특히|특별하게,,미암기,2012-01-27 08:49:08
indication,가리키는|표시|징후,"1)의미, 암시

",미암기,2012-01-21 09:11:42
casualty,사상자|희생자|피해자|부상자,"1)부상자
",미암기,2012-01-15 15:38:34
rewarding,가치가 있는|보람이 있는|보람있는,,미암기,2012-01-15 15:37:33
allocate,할당하다|배분하다|책정하다,,미암기,2012-01-10 09:08:06
redeem,구하다|만회하다|교환|보상|상환하다,"1)변제하다, 약속을 이행하다, 벌충하다,
",미암기,2012-01-10 09:06:51
religious,종교의|신앙의|독실한,,미암기,2011-03-19 13:56:52
rapid,급속한|빠른|신속한|급격한|가파른,,미암기,2011-03-19 13:56:32
rainy,비가 오는,"1)비
",미암기,2011-03-19 13:56:32
precious,소중한|귀중한|중요한|귀여운,,미암기,2011-03-19 13:56:32
polite,공손한|예의 바른|정중한,"1)공손한
",미암기,2011-03-19 13:56:32
peaceful,평화적인|평화로운|편안한,,미암기,2011-03-19 13:56:32
other,다른|기타의|타인|나머지의|반면에,"1)다른, 별개의, ~이외의
",미암기,2011-03-19 13:56:32
noble,고귀한|귀족의|값비싼|기품,,미암기,2011-03-19 13:56:32
native,원주민의|토착의|태생의|고유한|토박이의,,미암기,2011-03-19 13:56:32
main,주요한|주된|중심적인|메인|주로 쓰이는,,미암기,2011-03-19 13:56:32
low,낮은|저|최저의|적은|떨어지는,,미암기,2011-03-19 13:56:32
flat,납작한|평면|아파트|시시한|변동 없는,,미암기,2011-03-19 13:54:38
fair,공정한|공평한|박람회|전시회|페어의,,미암기,2011-03-19 13:54:16
extreme,극단적인|극심한|극도의|지나친|과격한,,미암기,2011-03-19 13:54:00
excited,흥분한|신이 난|들뜨다|흥미로운|기대하는,,미암기,2011-03-19 13:54:00
empty,빈|비우다|없어지다|없는|공허한,,미암기,2011-03-19 13:54:00
