단어,주요뜻,메모,암기여부,저장날짜
attend,참석하다|다니다|주의하다|돌보다,,미암기,2011-01-06 09:51:28
familiar,익숙한|친숙한|잘 아는|낯익은,,미암기,2011-01-05 16:12:25
mimic,흉내내다|흉내쟁이|가짜의,,미암기,2011-01-05 16:12:25
stimulating,활기를 주는|자극을 주는|자극적인,,미암기,2011-01-05 16:12:25
gradually,점차적으로|점진적으로|서서히|점점,,미암기,2011-01-05 16:12:25
grow,성장하다|자라다|증가하다|크다|늘다,"1)~자라다, ~이 되다, 키우다.
",미암기,2011-01-05 16:12:25
childhood,유아기|어린 시절|소아기|아동기|유년기,,미암기,2011-01-05 16:12:25
various,다양한|여러가지의|많은|얼룩덜룩한,,미암기,2011-01-05 16:12:25
found,발견했다|찾아냈다|알아냈다|만났다|설립하다,,미암기,2011-01-04 09:49:51
through,통하여|지나서|겪다|통과|사이로,,미암기,2011-01-04 09:49:51
opportunity,기회|찬스,,미암기,2011-01-04 09:49:51
share,공유하다|나누다|점유하다|주식|주가,,미암기,2011-01-04 09:49:51
poor,가난한|빈곤한|불쌍한|빈약한|부족한,,미암기,2011-01-04 09:49:51
deep,깊은|심|매우|많다|딥,,미암기,2011-01-04 09:49:51
riverside,강변|강기슭|리버사이드,,미암기,2011-01-04 09:49:51
valley,계곡|골짜기|유역,,미암기,2011-01-04 09:49:51
host,개최하다|주최하다|진행자|다수의|숙주,,미암기,2011-01-04 09:49:51
challenge,도전|문제|난제|이의를 제기하다|자극하다,,미암기,2011-01-04 09:49:51
along,함께|…을 따라|동안에|가지고|계속,,미암기,2011-01-04 09:49:51
needle,바늘|주사|침,,미암기,2011-01-02 17:19:28
thread,실|가는 선|옷|공통된 주제,,미암기,2011-01-02 17:19:28
permission,허가|허락|허용|승인|동의,,미암기,2011-01-02 17:19:28
impression,인상|생각|흉내,,미암기,2011-01-02 17:19:28
servant,공무원|서번트|하인|종|노예,,미암기,2011-01-02 17:19:28
secretary,장관|비서|차관|간사|사무총장,,미암기,2011-01-02 17:19:28
aide,측근|보좌관|참모|조력자|부관,,미암기,2011-01-02 17:19:28
assistant,보조|조수|비서|보좌의,,미암기,2011-01-02 17:19:28
director,관리자|감독,"1)지도자, 감독, 지휘자, 연출가
",미암기,2010-12-31 08:48:47
principal,교장|주요한|주된|원금,,미암기,2010-12-31 08:48:47
unbeliever,회의자|믿지 않는 사람|신앙 없는 사람,,미암기,2010-12-31 08:48:47
unknown,알려지지 않은|미지의|무명의|새로운|불분명한,,미암기,2010-12-31 08:48:47
unplug,마개를 뽑다|…에서 전원을 끊다|장애물을 제거하다,,미암기,2010-12-31 08:48:47
pull,당기다|끌다|철수시키다|뽑다|빼다,,미암기,2010-12-31 08:48:47
plug,플러그|꽂다|막다|마개,"1)마개
",미암기,2010-12-31 08:48:47
hopeful,희망적인|가망있는|기대하는|유망한,,미암기,2010-12-30 10:24:18
skillful,능숙한|솜씨 있는|숙련된,,미암기,2010-12-30 10:24:18
authorship,저작업|원작자임|출처,,미암기,2010-12-30 10:24:18
citizenship,시민권|국적,,미암기,2010-12-30 10:24:18
scholarship,장학금|학문,,미암기,2010-12-30 10:24:18
ownership,소유권|지분|지배권,,미암기,2010-12-30 10:24:18
censorship,검열|언론 검열제도|검열관의 직위,,미암기,2010-12-30 10:24:18
existence,존재|현존|생존|생활|실체,,미암기,2010-12-30 10:24:18
unconscious,무의식의|의식을 잃은,,미암기,2010-12-30 10:24:18
censor,검열|금지|통제|감시|삭제,,미암기,2010-12-30 10:24:18
daily,매일의|일상적인|데일리|날마다,,미암기,2010-12-30 10:24:18
journalist,기자|언론인|저널리스트,,미암기,2010-12-30 10:24:18
quotient,상|몫|할당,,미암기,2010-12-29 09:59:46
intelligence,지능|정보|지성|지적|첩보,,미암기,2010-12-29 09:59:46
hug,껴안다|포옹하다,,미암기,2010-12-29 09:59:46
physical,물리의|신체의|건강진단|육체의|물질의,,미암기,2010-12-29 09:59:46
emotional,감정적인|감정의|감정에 호소하는,,미암기,2010-12-29 09:59:46
remote,원격의|먼|외딴|리모컨|희박한,,미암기,2010-12-29 09:59:46
community,사회|공동체|커뮤니티|군집|단체,,미암기,2010-12-29 09:59:46
avatar,아바타|분신|화신,,미암기,2010-12-29 09:59:46
shepherd,양치기|셰퍼드|목자,,미암기,2010-12-29 09:59:46
climax,절정|최고점|클라이맥스|극상,,미암기,2010-12-28 10:12:41
delay,지연시키다|연기하다|지체시키다|늦추다|미루다,,미암기,2010-12-28 10:12:41
complain,불평하다|호소하다|고발하다|투덜거리다,,미암기,2010-12-28 10:12:41
cart,카트|수레|마차,,미암기,2010-12-28 10:12:41
damage,손상|피해|손해|배상금|해치다,,미암기,2010-12-28 10:12:41
pair,짝지어주다|한 쌍|2인조|한 벌,,미암기,2010-12-28 10:12:41
hold,열다|보유하다|잡다|기다리다,,미암기,2010-12-28 10:12:41
leadership,리더십|지도력|대표|선도|권력,,미암기,2010-12-28 10:12:41
explosion,폭발|급증|혁신,,미암기,2010-12-26 14:01:14
nuclear,핵의|원자력|원전,,미암기,2010-12-26 14:01:14
submarine,잠수함,,미암기,2010-12-26 14:01:14
novelty,새로움|신기함,,미암기,2010-12-26 14:01:14
safety,안전|안정성|보호|보안,,미암기,2010-12-26 14:01:14
honesty,정직|솔직|양심|청렴결백,,미암기,2010-12-26 14:01:14
uncertainty,반신반의|불확실|확신이 없음,,미암기,2010-12-26 14:01:14
overcook,…을 지나치게 삶다,,미암기,2010-12-26 14:01:14
ambulance,구급차|앰뷸런스,,미암기,2010-12-26 14:01:14
pass,통과하다|지나가다|사망하다|패스|통하다,,미암기,2010-12-26 14:01:14
pepper,고추|후추|페퍼|피망|퍼붓다,,미암기,2010-12-26 14:01:14
bake,굽다,"1)굽다
",미암기,2010-12-26 14:01:14
fried,튀긴|프라이|취한,"1)튀기다
",미암기,2010-12-26 14:01:14
misgiving,불안|의혹,,미암기,2010-12-26 14:01:14
worry,걱정하다|우려하다|염려|불안|고민하다,"1)걱정하다, 난처하게 하다, 걱정, 고생
",미암기,2010-12-26 14:01:14
concern,우려|관한|걱정|문제|관심사,,미암기,2010-12-26 14:01:14
anxiety,불안|걱정|염려|근심|긴장,,미암기,2010-12-26 14:01:14
turnip,순무|무|유행에 뒤떨어진 대형 회중 시계,,미암기,2010-12-25 10:46:25
green pepper,피망|양고추,"1)피망
",미암기,2010-12-25 10:46:25
cucumber,오이|덩굴 식물 및 그 열매,"1)오이
",미암기,2010-12-25 10:46:25
spinach,시금치|그 잎|돈,"1)시금치
",미암기,2010-12-25 10:46:25
lettuce,상추|쌈채소|레터스,"1)상추
",미암기,2010-12-25 10:46:25
eggplant,가지,"1)가지
",미암기,2010-12-25 10:46:25
onion,양파,"1)양파
",미암기,2010-12-25 10:46:25
mushroom,버섯|우후죽순격의,"1)버섯
",미암기,2010-12-25 10:46:25
production,생산|제작|제품|프로덕션,,미암기,2010-12-25 10:46:25
cabbage,양배추,"1)양배추
",미암기,2010-12-25 10:46:25
bang,굉음|두드리다|헛수고하다|훌륭히|충격,"1)단발의 앞머리, 탕 치다.
",미암기,2010-12-25 10:46:25
crash,충돌하다|추락하다|고장나다|붕괴하다|폭락,"1)추락
",미암기,2010-12-25 10:46:25
shatter,산산이 부서지다|파괴|분쇄하다|풍비박산,,미암기,2010-12-25 10:46:25
smash,부서지다|충돌하다|깨다|큰 성공|박살내다,,미암기,2010-12-25 10:46:25
hit,치다|히트를 치다|타격|달하다|부딪히다,,미암기,2010-12-25 10:46:25
typhoon,태풍|폭풍|제2차 세계 대전 당시 영국 폭격기 이름,,미암기,2010-12-25 10:46:25
batter,타자|공격하다|반죽,,미암기,2010-12-25 10:46:25
pan,팬|프라이팬|냄비,,미암기,2010-12-25 10:46:25
away,떨어져|멀리|당장|떠나|사라져,,미암기,2010-12-23 09:09:14
undergo,받다|겪다|진행하다|…을 견디다,,미암기,2010-12-23 09:09:14
soulful,감정이 깃들어 있는|감동적인|정열적인,,미암기,2010-12-23 09:09:14
flow,유동|흐름|몰입|유입|플로우,,미암기,2010-12-23 09:09:14
current,현재의|전류|현행의|지금의|해류,,미암기,2010-12-23 09:09:14
trio,삼중창|삼중창단|트리오,,미암기,2010-12-23 09:09:14
leather,가죽|피혁,,미암기,2010-12-23 09:09:14
wear,입다|착용하다|닳다|쓰다|옷,,미암기,2010-12-23 09:09:14
create,만들다|만들어 내다|창조하다|제작하다|생산하다,,미암기,2010-12-23 09:09:14
envy,부러워하다|질투하다|선망,,미암기,2010-12-23 09:09:14
green,녹색의|환경 친화적인|푸른|잔디|야채의,,미암기,2010-12-23 09:09:14
build,건축하다|만들다|짓다|기르다|개발하다,,미암기,2010-12-23 09:09:14
gorgeous,멋진|우아한|예쁜|화려한,,미암기,2010-12-21 09:47:12
fashionable,멋있는|유행의|패션 감각이 있는,,미암기,2010-12-21 09:47:12
stylish,유행의|멋진|유행에 맞는,,미암기,2010-12-21 09:47:12
shipyard,조선소,,미암기,2010-12-21 09:47:12
backyard,뒤뜰|세력 범위,,미암기,2010-12-21 09:47:12
courtyard,마당|안뜰,,미암기,2010-12-21 09:47:12
across,… 전역에서|가로질러서|걸쳐서|건너다|지름으로,,미암기,2010-12-21 09:46:18
greenfly,자주진딧물|열광적인 야구팬|진딧물,,미암기,2010-12-21 09:46:18
mayfly,하루살이|제물낚시 바늘,,미암기,2010-12-21 09:46:18
dragonfly,잠자리,,미암기,2010-12-21 09:46:18
firefly,반딧불이|반딧불|반디|개똥벌레,,미암기,2010-12-21 09:46:18
elegant,우아한|훌륭한,,미암기,2010-12-21 09:46:18
suitable,적합한|적절한|적당한|알맞은,,미암기,2010-12-21 09:46:18
wonderful,멋진|놀라운|훌륭한|좋은|아름다운,,미암기,2010-12-21 09:46:18
responsible,책임이 있는|담당의|원인이 되는|역할을 하다|요인,,미암기,2010-12-21 09:46:18
above,위에|이상인|하늘에|상기(上記)한,,미암기,2010-12-21 09:46:18
clip,동영상|클립|속도|집게|탄창,,미암기,2010-12-21 09:46:18
persuasion,설득|신앙,,미암기,2010-12-21 09:46:18
advertiser,광고자|광고인|광고주,,미암기,2010-12-21 09:46:18
refugee,난민|이탈자|망명자,,미암기,2010-12-21 09:46:18
immigration,이민|출입국 관리|이주,,미암기,2010-12-21 09:46:18
particular,특정한|특별한|특수한|특이한|특히 이,,미암기,2010-12-21 09:46:18
respectively,각각|각자|각기,,미암기,2010-12-19 20:25:41
widely,널리|가장|광범위하게|대부분,,미암기,2010-12-19 20:25:41
lately,최근에|요즘|근래|요새,,미암기,2010-12-19 20:25:41
agreeable,동의할 만한|쾌적한|상냥한|마음에 드는,,미암기,2010-12-19 20:25:41
probable,가능성|그럴듯한|확실한,,미암기,2010-12-19 20:25:41
truly,진정|정말|사실대로|진심으로|참으로,,미암기,2010-12-19 20:25:41
simply,단순히|그저|간단히|아주|전혀,,미암기,2010-12-19 20:25:41
closely,긴밀히|면밀하게|더|가까이|유심히,,미암기,2010-12-19 20:25:41
unlock,열다|밝히다|잠기지 않은,,미암기,2010-12-19 20:25:41
uncoil,풀다|풀리다|똬리를 풀다,,미암기,2010-12-19 20:25:41
unselfish,이타적인|무사한|이기적이 아닌,,미암기,2010-12-19 20:25:41
unjust,부당한,,미암기,2010-12-19 20:25:41
uncool,싫은|성가신|거친,,미암기,2010-12-19 20:25:41
uncomfortable,불편한|민감한|불쾌감을 주는,,미암기,2010-12-19 20:25:41
untouchable,불가촉 천민|손대어서는 안 되는|당할 수 없는,,미암기,2010-12-19 20:25:41
unusual,특이한|드문|특별한|이상한|독특한,,미암기,2010-12-19 20:25:41
unnatural,부자연스러운|비정상적인|극도로 잔혹한,,미암기,2010-12-19 20:25:41
unable,…할 수 없는|…하지 못하는|불가능한|무능한,,미암기,2010-12-19 20:25:41
unsatisfactory,불만족스러운|불충분한,,미암기,2010-12-19 20:25:41
contentment,만족|흡족해함,,미암기,2010-12-19 20:25:41
pleasure,즐거움|기쁨|쾌락|기쁘다|반갑다,,미암기,2010-12-19 20:25:41
satisfying,만족시키는|충분한|납득이 가는,,미암기,2010-12-19 20:25:41
wooden,목제의|나무의|나무로 만든,,미암기,2010-12-16 13:15:44
early,초기|초|일찍|이른|어린,,미암기,2010-12-16 13:15:44
spacious,넓은|널찍한|공간이 넓은,"1)넓은, 거대한, 견해[시야]가 넓은
",미암기,2010-12-16 13:15:44
veranda,a porch along the outside of a building,"1)베란다, 툇마루
",미암기,2010-12-16 13:15:44
footwork,풋워크|발놀림|교묘한 처리,,미암기,2010-12-16 13:15:44
southeast,동남|남동|남동부,,미암기,2010-12-16 13:15:44
flowerpot,화분,,미암기,2010-12-16 13:15:44
playground,놀이터|운동장,,미암기,2010-12-16 13:15:44
homeroom,홈룸|홈룸 시간,,미암기,2010-12-16 13:15:44
grandparent,조부모,,미암기,2010-12-16 13:15:44
trip,여행|방문하다|출장|이동|활동,"1)[짧은] 여행, 헛디딤, 과실
",미암기,2010-12-16 13:15:44
country,나라|국가|지역|조국|분야,,미암기,2010-12-16 13:15:44
backpack,배낭|등짐|배낭을 지고 걷다,,미암기,2010-12-16 13:15:44
server,서버|종업원|직원|근무자|봉사자,,미암기,2010-12-15 10:55:52
clerk,직원|사무원|점원|서기|판매원,,미암기,2010-12-15 10:55:52
professor,교수|박사|선생,,미암기,2010-12-15 10:55:52
committee,위원회,,미암기,2010-12-15 10:55:52
chairperson,사회자|회장|의장,,미암기,2010-12-15 10:55:52
cram,밀어 넣다,,미암기,2010-12-15 10:55:52
institute,연구소|전문교육기관|대학교|협회|시행하다,,미암기,2010-12-15 10:55:52
nation,국가|나라|국민|민족,,미암기,2010-12-15 10:55:52
among,…중에|상호간에|대한|…사이에|가운데,,미암기,2010-12-15 10:55:52
academy,학술원|아카데미|학교|학원|교육기관,,미암기,2010-12-15 10:55:52
cereal,시리얼|곡물,,미암기,2010-12-14 09:03:35
turkey,터키|칠면조,,미암기,2010-12-14 09:03:35
expect,예상하다|기대하다|생각하다|바라다|요구하다,,미암기,2010-12-14 09:03:35
lightning,번개|벼락|전율,,미암기,2010-12-14 09:03:35
recognize,인식하다|인정하다|알다|알아보다|깨닫다,,미암기,2010-12-14 09:03:35
already,이미|벌써|충분히|이전에|지금까지,"1)[긍정문에서] 이미, [의문문에서] 벌써, [부정문에서] 설마
",미암기,2010-12-14 09:03:35
officially,공식으로|정식으로|공인|본격적으로|공무상,,미암기,2010-12-14 09:03:35
include,포함하다|포괄하다|함유하다,,미암기,2010-12-14 09:03:35
lasting,지속되는|영구적인|오랜|내구력이 있는|영원한,,미암기,2010-12-11 12:54:02
enduring,참을성있는|지속하는|인내|영속적인|변함없는,,미암기,2010-12-11 12:54:02
permanent,영구적인|정규직의|상설의|영원한|파마,,미암기,2010-12-11 12:54:02
eternal,영원한|무한한|불멸의|불변의|천추의,,미암기,2010-12-11 12:54:02
everlasting,영원한|끊임없는|끝없는,,미암기,2010-12-11 12:54:02
ageless,영원한|언제나 젊은|불로의,,미암기,2010-12-11 12:54:02
endless,끝없는|많은|무한한|장황한,,미암기,2010-12-11 12:54:02
unchanged,불변의|변하지 않은|원래대로의,,미암기,2010-12-11 12:54:02
timeless,시간을 초월한|시대를 초월한|영원한,,미암기,2010-12-11 12:54:02
cafeteria,구내 식당|카페테리아,,미암기,2010-12-11 12:54:02
shall,…해주어야겠다|…일 것이다|…할까요|…해야 하다|…시키겠다,,미암기,2010-12-11 12:54:02
coat,코트|칠하다|도금|외피|외투,,미암기,2010-12-11 12:54:02
helmet,헬멧|안전모|투구|마스크|머리 모양,,미암기,2010-12-11 12:54:02
mask,마스크|가면|감추다|안대,,미암기,2010-12-11 12:54:02
glove,장갑|글러브,,미암기,2010-12-11 12:54:02
ant,개미,,미암기,2010-12-11 12:54:02
spider,거미,,미암기,2010-12-11 12:54:02
job,직무|일|직업|일자리|수술,,미암기,2010-12-11 12:54:02
certainly,분명히|물론이지|확실히|정말로|절대적으로,,미암기,2010-12-11 12:54:02
meteorologist,a specialist who studies processes in the earth's atmosphere that cause weather conditions,"1)기상학자
",미암기,2010-12-10 14:27:09
humanist,인문주의자|인도주의자|인본주의,,미암기,2010-12-10 14:27:09
biologist,생물학자,,미암기,2010-12-10 14:27:09
psychologist,심리학자|정신과 의사,,미암기,2010-12-10 14:27:09
perfectionist,완벽주의자,,미암기,2010-12-10 14:27:09
tourist,관광객|관광의,,미암기,2010-12-10 14:27:09
artist,예술가|아티스트|미술가|화가|작가,,미암기,2010-12-10 14:27:09
participate,참여하다|참가하다|참석하다|출전하다|동참하다,,미암기,2010-12-10 14:27:09
abroad,해외에|외국에|널리,"1)국외[해외]로, 여기저기에, 잘못하여
",미암기,2010-12-10 14:27:09
dentist,치과의사,,미암기,2010-12-10 14:27:09
savor,맛|풍미|맛이 나다,,미암기,2010-12-10 14:25:25
taste,맛보다|맛|취향|미각,,미암기,2010-12-10 14:25:25
pedestrian,보행의|도보의|평범한,,미암기,2010-12-10 14:25:25
colleague,동료,,미암기,2010-12-10 14:25:25
companion,동반자|친구|동료|벗|반려,,미암기,2010-12-10 14:25:25
distinction,구별|차이|차별|영예,,미암기,2010-12-10 14:25:25
beginner,초보자|초심자,,미암기,2010-12-10 14:25:25
shipwreck,난파하다|난파|난파선,,미암기,2010-12-10 14:25:25
archipelago,다도해|군도|에게 해,,미암기,2010-12-10 14:25:25
dugong,듀공,,미암기,2010-12-10 14:25:25
seabed,해저,,미암기,2010-12-10 14:25:25
shore,해안|강화하다|육지|기슭,,미암기,2010-12-10 14:25:25
coast,해안|연안|해변,,미암기,2010-12-10 14:25:25
proud,자랑스러운|자신감이 강한|자부심이 강한|당당한|자존심이 강한,,미암기,2010-12-10 14:25:25
reef,산호초|암초,,미암기,2010-12-10 14:25:25
coral,산호,,미암기,2010-12-10 14:25:25
theory,이론|견해|가설,,미암기,2010-12-10 14:25:25
beneath,아래에|밑에|지하에|가치가 없는|…의 이면에,,미암기,2010-12-10 14:25:25
deserve,자격|만하다|마땅히|가치|싸다,,미암기,2010-12-10 14:25:25
envious,부러워하는|시기하는,,미암기,2010-12-10 14:25:25
method,방법|방식|수단,,미암기,2010-12-10 14:25:25
hidden,감춰진|숨은|비밀의|남모르게,,미암기,2010-12-10 14:25:25
describe,묘사하다|설명하다|표현하다|기술하다|그리다,,미암기,2010-12-10 14:25:25
choir,합창하다|성가대,,미암기,2010-12-10 14:25:25
choral,합창의|합창으로 부르는,,미암기,2010-12-10 14:25:25
chorus,코러스|합창|이구동성,,미암기,2010-12-10 14:25:25
benefit,이익|혜택|도움이 되다,,미암기,2010-12-10 14:21:53
limitation,a principle that limits the extent of something,"1)한정, 한계, 극한
",미암기,2010-12-10 14:21:53
advantageous,유리한|…하기 좋은|이로운,,미암기,2010-12-10 14:21:53
promotion,증진|진흥|승진|촉진|홍보,,미암기,2010-12-10 14:21:53
merit,장점|이점|가치|공로|혜택,,미암기,2010-12-10 14:21:53
scale,규모|척도|등급|비교하다|음계,,미암기,2010-12-10 14:21:53
conductor,지휘자|전도체|안내자,,미암기,2010-12-10 14:21:52
vocalist,a person who sings,"1)[특히 재즈나 팝뮤직의]성악가, 가수 
",미암기,2010-12-10 14:21:52
tune,조율하다|곡|주파수를 맞추다|연주하다|서로 맞다,,미암기,2010-12-10 14:21:52
depend,따라|의존하다|달리다|의지하다|좌우되다,,미암기,2010-12-10 09:43:48
Mentor,스승|조언자|멘토르,,미암기,2010-12-10 09:43:48
everything,모든|모든 것|모두|최선|만사,,미암기,2010-12-10 09:43:48
drink,마시다|음주|음료|먹다|한 잔,"1)마시다, 마실 것. 한잔
",미암기,2010-12-10 09:43:48
confuse,혼란스럽다|혼동하다|어리둥절하게 하다|당황하게 하다,,미암기,2010-12-10 09:43:48
delicious,맛있는|맛좋은|달콤한|즐거운|먹음직,,미암기,2010-12-10 09:43:48
prepare,준비하다|대비하다|마련하다,,미암기,2010-12-10 09:43:48
coke,콜라|코크스|코카인,,미암기,2010-12-10 09:43:48
up,위|오르다|증가하다|늘리다|일어나다,,미암기,2010-12-08 09:34:09
dictionary,사전|딕셔너리,,미암기,2010-12-08 09:34:09
kicking,a rhythmic thrusting movement of the legs as in swimming or calisthenics,"1)최고의, 뛰어난
",미암기,2010-12-08 09:34:09
beginning,시작|처음|초|기원|개시,,미암기,2010-12-08 09:34:09
building,건물|건축|빌딩,,미암기,2010-12-08 09:34:09
dating,날짜 기입|선일부|연대 결정,,미암기,2010-12-08 09:34:09
rating,등급|평가|시청률|평점,,미암기,2010-12-08 09:34:09
funding,자금 제공|지원|투자|재정|기금,,미암기,2010-12-08 09:34:09
true,사실|진정한|진짜의|정말|실현의,,미암기,2010-12-08 09:34:09
recently,최근에|얼마전|근래에|요즘에|요즈음,,미암기,2010-12-08 09:34:09
guess,…라고 생각하다|…인 것 같다|추측하다|짐작하다|맞히다,,미암기,2010-12-08 09:34:09
meaning,의미|의미 있는|뜻|중요성|즉,,미암기,2010-12-08 09:34:09
bath,목욕|목욕물|욕조|욕실,,미암기,2010-12-08 09:34:09
down,내리다|지다|내려가다|넘어져|아래로,"1)낮은 쪽으로, 아래로
",미암기,2010-12-08 09:34:09
exciting,흥미진진한|흥분시키는|신나는|재미있는|놀라운,,미암기,2010-12-08 09:34:09
ring,링|반지|울리다|고리|전화하다,,미암기,2010-12-08 09:34:09
thing,것|일|상황|물건|짓,"1)것, 일, 사물
",미암기,2010-12-08 09:34:09
ink,잉크|서명하다|먹물,,미암기,2010-12-08 09:34:09
industry,산업|업계|제조업|공업,,미암기,2010-12-03 09:37:04
broadcasting,방송,,미암기,2010-12-03 09:37:04
energetic,힘이 넘치는|활기찬|정력적인|활동적인,,미암기,2010-12-03 09:37:04
on the straight,똑바로|정직하게|일직선으로,,미암기,2010-12-03 09:37:04
passer,통행인|통과하는 사람|시험 합격자,,미암기,2010-12-03 09:37:04
international,국제적인|인터내셔널|국제의|국제간의,,미암기,2010-12-03 09:37:04
interview,인터뷰|면접|면담|회견,,미암기,2010-12-03 09:37:04
reporter,기자|리포터,,미암기,2010-12-03 09:37:04
active,능동적인|활동적인|적극적인|활발한|현역의,,미암기,2010-12-03 09:37:04
sucking,빠는|젖내나는|아직 젖이 떨어지지 않은,,미암기,2010-12-02 10:07:10
belong,속하다|…의 것이다|소유하다|어울리다,,미암기,2010-12-02 10:07:10
napkin,냅킨,,미암기,2010-12-02 10:07:10
tuck in,진수 성찬|걸어지르는 부분,"1)Ex&gt;Your shirt is hanging out. Tuck it in. 셔츠 자락이 비어져 나와 있으니 바지 속에 집어 넣으세요.

",미암기,2010-12-02 10:07:10
elbow,주관절 |팔꿈치|엘보우|팔,,미암기,2010-12-02 10:05:50
fast food,패스트푸드|즉석 식품|즉석 요리의,,미암기,2010-12-02 10:05:50
in case of,…의 경우에는|…한 때에는|…에 대비하여,"1)In case of fire, this box must be removed for safety first of all.  
화재가 나면 이 상자를 맨 먼저 들어내야 합니다
",미암기,2010-12-02 10:05:50
guide,안내하다|가이드|유도하다|지도하다|인도하다,,미암기,2010-12-02 10:05:50
waitress,웨이트리스|여종업원,,미암기,2010-12-02 10:05:50
until,…할 때까지|…까지|…이 되어 비로소,,미암기,2010-12-02 10:05:50
directly,직접적으로|곧바로|곧장|일직선으로|똑바로,,미암기,2010-12-02 10:05:50
breakfast,아침|아침식사|조식,"1)아침 식사, 조반을 먹다.
",미암기,2010-11-23 09:58:12
celebrate,기념하다|축하하다|찬양하다|맞이하다|거행하다,,미암기,2010-11-23 09:58:12
custom,세관|관습|풍습|맞춤의|문화,,미암기,2010-11-23 09:58:12
ancestor,조상|선조|시조,,미암기,2010-11-23 09:58:12
Memorial Day,전몰 장병 기념일|현충일|영령 추도일,,미암기,2010-11-23 09:58:12
in a hurry,서둘러|황급히|조급히,,미암기,2010-11-23 09:58:12
photogenic,사진이 잘 받는|영화에 알맞은|발광성의,,미암기,2010-11-23 09:55:16
in person,직접의|실제로 하는|개인적으로|실물은|본인이 직접,"1)She handles customers well on the phone, in person, and in writing. 
그녀는 전화상으로든, 직접 대면해서든, 서면으로든 고객을 정성껏 대합니다.

",미암기,2010-11-23 09:55:16
bought,샀다|구입했다|장만했다,"1)buy[사다]의 과거, 과거분사 입니다.
",미암기,2010-11-23 09:55:16
overland,육로로|육상의|육로의,,미암기,2010-11-20 12:28:56
turn off,끄다|쫓아버리다|흥미를 잃다|만들어내다|잠그다,"1)I forgot to turn off the TV 텔레비전 끄는 것을 깜빡 했어요.


",미암기,2010-11-20 12:26:25
fan,팬|좋아하는|선풍기|부채|흩어지다,,미암기,2010-11-20 12:26:25
dad,아빠,,미암기,2010-11-20 12:26:25
in public,공공|공|공개적으로|대중|국민,"1)사람들 앞에서
illegalize smoking in public places 공공 장소에서의 흡연을 법으로 금하다

",미암기,2010-11-20 12:23:53
loudly,크게|큰 소리로|요란하게|단호하게,,미암기,2010-11-20 12:23:53
such as,같은|등|이러한|예를 들면|특히,,미암기,2010-11-20 12:23:53
culture shock,문화 쇼크|문화 충격,,미암기,2010-11-20 12:23:53
face,얼굴|직면하다|표정,,미암기,2010-11-20 12:23:53
generally,일반적으로|대개|대체로|보통|전반적으로,,미암기,2010-11-19 09:00:16
special,특별한|특수한|특이한|임시의|스페셜,"1)특별한, 전문[전공]의
",미암기,2010-11-19 08:46:07
borrow,빌리다|대여하다|차용하다|빚지다,,미암기,2010-11-19 08:46:07
last,지난|마지막의|지속되다|최종의|끝,,미암기,2010-11-19 08:44:22
invade,침공|침략하다|침범|침입하다|공격,,미암기,2010-11-19 08:43:38
billion,10억|막대한 수,,미암기,2010-11-19 08:43:38
over,…이상|끝나서|위의|너무,,미암기,2010-11-19 08:43:38
population,인구|사람들|집단|모집단|개체군,,미암기,2010-11-19 08:43:38
argument,논쟁|주장|말다툼|논거|논점,,미암기,2010-11-18 10:20:01
point,점|포인트|지적하다|요점|시점,,미암기,2010-11-18 10:20:01
education,교육|훈련|교양,,미암기,2010-11-18 10:20:01
discuss,논의하다|협의|이야기하다|토론하다|대화,,미암기,2010-11-18 10:20:01
originally,원래|처음에는|처음부터|본래,,미암기,2010-11-18 10:17:17
ancestry,조상|문벌|기원,,미암기,2010-11-18 10:17:17
talk about,이야기하다|말하다|말씀|논의하다|대화하다,,미암기,2010-11-18 10:14:42
smoker,담배를 피우는 사람|훈제업자|끽연가,,미암기,2010-11-18 10:14:42
punish,처벌하다|벌을 주다|응징하다|체벌하다|혼내다,,미암기,2010-11-18 10:14:42
firmly,강하게|확고하게|꽉|자신 있게,,미암기,2010-11-18 10:14:42
smoking,흡연|담배를 피우는|연기 나는,,미암기,2010-11-18 10:14:42
proposal,제안|안|계획|제의|청혼,,미암기,2010-11-18 10:14:42
upset,기분 나쁜|화난|당황|혼란|역전,,미암기,2010-11-15 09:49:04
bother,괴롭히다|성가시게 하다|신경쓰이다|귀찮게 하다|걱정하다,,미암기,2010-11-15 09:49:04
vacancy,빈자리|빈방|결원,"1)공허, 빈터, 결원, 틈, 방심. &lt;고어&gt; 한가, 여가
",미암기,2010-11-15 09:49:04
anyway,어쨌든|아무튼|어차피|그래서|결국,,미암기,2010-11-15 09:49:04
sure,확신하고|확실히|물론|분명히|반드시,"1)확신하는, 틀림없이, [대답에서] 좋고 말고, 물론
",미암기,2010-11-15 09:49:04
capable,가능성있는|능력있는|가능한|할 수 있는|유능한,,미암기,2010-11-15 09:46:31
increase,증가하다|늘리다|인상되다|확대하다|상승하다,,미암기,2010-11-15 09:46:31
graduate,졸업하다|대학원생의|대졸자|학사,,미암기,2010-11-15 09:46:31
college,대학|연구소|칼리지,,미암기,2010-11-15 09:46:31
salary,월급|연봉|급여|임금|보수,,미암기,2010-11-15 09:46:31
tempt,유혹하다|하고 싶은|끌다|꾀다,,미암기,2010-11-15 09:46:31
