,title,link,image,author,price,discount,publisher,pubdate,isbn,description
190,파이썬과R 2학기 워크북포함 ,http://book.naver.com/bookdb/book_detail.php?bid=16428366,https://bookthumb-phinf.pstatic.net/cover/164/283/16428366.jpg?type=m1&udate=20200827,Null,14900,14900,한국방송통신대학교출판문화원,20200722,8920036683 9788920036682,본 교재는 크게 파이썬과 R의 프로그래밍 파이썬과 R을 이용한 데이터처리 및 그래프 그리기 파이썬과 R을 이용한 자료분석 등으로 이루어져 있다 R은 1학년 과목인 R 컴퓨팅 에서 소개하고 있으므로 쉽게 이해하고 정리할 수 있을 것이다 파이썬은 본 과목에서 처음으로 소개하고 있으므로 R을 
191,파이썬 코딩 수학 with 딥러닝 수학적 사고력 향상을 위한 ,http://book.naver.com/bookdb/book_detail.php?bid=15074125,https://bookthumb-phinf.pstatic.net/cover/150/741/15074125.jpg?type=m1&udate=20200429,박경원,15000,13500,정보문화사,20190710,8956748357 9788956748351,이러한 과정 중에 파이썬의 중요한 패키지인 NUMPY MATPLOTLIB PANDAS에 대해 배우게 됩니다 이 책은 이 패키지를 반복적으로 사용하게끔 유도하면서 책을 끝까지 다 공부하게 되면 위 패키지 사용에 어느 정도 자신감을 갖게 될 것입니다 
192,Python을 이용한 데이터 분석과 시각화,http://book.naver.com/bookdb/book_detail.php?bid=16822607,https://bookthumb-phinf.pstatic.net/cover/168/226/16822607.jpg?type=m1&udate=20201219,김계수,28000,26600,한나래아카데미,20201015,8955662408 9788955662405,데이터 분석의 장벽은 낮추고 활용도는 높인 PYTHON 이 책은 분석 기반 데이터 과학을 통한 문제 해결 가치 창출을 지향한다 이를 위해 데이터 분석의 기본 지식부터 머신러닝과 인공지능에 이르는 고급 지식까지 쉽고 체계적으로 담아내려고 힘썼다 이 책이 추구하는 목표는 세 가지다 첫째는 독자들이 
193,작심 3일 파이썬 Python,http://book.naver.com/bookdb/book_detail.php?bid=14791962,https://bookthumb-phinf.pstatic.net/cover/147/919/14791962.jpg?type=m1&udate=20210509,황덕창,18000,16200,스포트라잇북,20190425,1187431168 9791187431169,문과 전공 초보자를 본격 배려한 파이썬 기초 3일 특강파이썬을 배우는 가장 좋은 방법은 수준에 맞는 과외 를 받는 것이라는 취지를 가지고 비전공자 파이썬 설치 없이 웹상에서 배우는 1일차를 지나 파이썬 설치 후 날짜계산 프로그램을 짜보면서 시작하는 2일차를 거쳐 꽤 어려운 자동화 프로그래밍에 
194,파이썬 데이터 분석 입문 엑셀 및 CSV 파일 처리부터 데이터베이스 시각화 통계분석 자동화까지 ,http://book.naver.com/bookdb/book_detail.php?bid=12657786,https://bookthumb-phinf.pstatic.net/cover/126/577/12657786.jpg?type=m1&udate=20210221,클린턴 브라운리,27000,24300,한빛미디어,20171025,1162240148 9791162240144,엑셀의 한계를 넘어 파이썬을 이용한 데이터 분석으로엑셀은 쉽고 직관적이지만 수백 개의 파일을 다루기는 무리다 파이썬을 이용하면 엑셀의 한계를 넘어 다양한 형식의 데이터를 가공하고 수많은 파일을 분석할 수 있다 이 책은 일반인을 위한 파이썬 기초부터 CSV 엑셀 데이터베이스의 데이터를 분석하는 
195,파이썬으로 배우는 누구나 코딩,http://book.naver.com/bookdb/book_detail.php?bid=15405019,https://bookthumb-phinf.pstatic.net/cover/154/050/15405019.jpg?type=m1&udate=20191001,강환수|신용현,25000,24250,홍릉과학출판사,20190826,1156006910 9791156006916, 이 책은 파이썬을 다룬 이론서입니다 
196,파이썬 프로그래밍 예제로 쉽게 배우는 ,http://book.naver.com/bookdb/book_detail.php?bid=16626571,https://bookthumb-phinf.pstatic.net/cover/166/265/16626571.jpg?type=m1&udate=20200826,김상근,22000,19800,다올미디어,20200828,8997587358 9788997587353,이 책은 예제를 활용하여 파이썬의 장점을 적극 활용하고자 하는 파이썬 언어를 처음 대하는 학생들과 개발자를 대상으로 저술하였다 이 책을 통해 파이썬의 장점을 맘껏 누려보기를 희망한다 
197,누구나 파이썬 너도 데이터 가지고 놀 수 있어 1 독특하고 재이있는 예제로 파이썬을 시작하고 싶다면 ,http://book.naver.com/bookdb/book_detail.php?bid=16214994,https://bookthumb-phinf.pstatic.net/cover/162/149/16214994.jpg?type=m1&udate=20200131,민형기,18000,16200,잇플,20190617,1190283670 9791190283670,파이썬을 기초부터 배우는 분들을 위해 파이썬으로 할 수 있는 재미있는 일을 보여주어 동기를 부여하고 다양한 분야를 체험하도록 도와준다 상세한 문법 언어적 기술이 아닌 난이도별 응용 예제에 집중하며 설치부터 시작해서 데이터를 다루는데 필요한 Pandas라는 모듈 데이터를 시각화하는데 
198,파이썬 연습,http://book.naver.com/bookdb/book_detail.php?bid=16290024,https://bookthumb-phinf.pstatic.net/cover/162/900/16290024.jpg?type=m1&udate=20210509,김기용,26000,25220,그린,20200227,8957273018 9788957273012,
199,파이썬 프로그래밍 코딩 초보자를 위한 데이터 중심의 ,http://book.naver.com/bookdb/book_detail.php?bid=16295291,https://bookthumb-phinf.pstatic.net/cover/162/952/16295291.jpg?type=m1&udate=20210203,길준민|박지수,22000,20900,인피니티북스,20191230,1185578587 9791185578583,데이터 활용과 논리적 사고를 위한 파이썬 프로그래밍이 책은 데이터 활용 능력과 함께 논리적 사고와 문제해결력을 배양하기 위해 파이썬 프로그래밍 언어에 기반한 데이터와 코딩의 기본 원리와 지식을 학습하며 특히 데이터와 코딩에 대한 기능과 활용을 파이썬 프로그래밍 언어의 터틀 그래픽을 통해 
200,한권으로 개발자가 원하던 파이썬 심화 A to Z 실무를 위해 반드시 알아야 할 ,http://book.naver.com/bookdb/book_detail.php?bid=15816230,https://bookthumb-phinf.pstatic.net/cover/158/162/15816230.jpg?type=m1&udate=20200711,문용준|문성혁,32000,28800,잇플,20191125,1190283662 9791190283663, 개발자가 원하던 파이썬 심화 는 이런 부분을 잘 설명하였으며 파이썬을 공부하려는 분들이 반드시 알아야 할 내용들로 구성되어 있습니다 파이썬은 수학이나 과학용을 처리하는 다양한 모듈부터 인공지능을 구현하는 머신러닝과 딥러닝 알고리즘까지 쓰이고 있습니다 다시 말하면 파이썬은 4차 
201,신비한 파이썬 프로젝트 당신의 호기심을 풀어보는 호기심을 풀어보는 ,http://book.naver.com/bookdb/book_detail.php?bid=16349171,https://bookthumb-phinf.pstatic.net/cover/163/491/16349171.jpg?type=m1&udate=20200522,Lee Vaughan,24000,21600,영진닷컴,20200515,8931462085 9788931462081,당신의 호기심을 풀어보는 신비한 파이썬 프로젝트이 책은 다양한 프로젝트로 새로운 파이썬 기술을 익히거나 창의적인 프로그래밍을 배워볼 수 미국 남북전쟁 암호 해독 외계 화산 시뮬레이션 대형 금융 거래 벤포드 법칙을 이용한 사기 탐지 등 다양한 프로젝트를 수행해 보면서 파이썬 라이브러리와 
202,고전 컴퓨터 알고리즘 인 파이썬 피보나치 수열부터 보드게임까지 알고리즘으로 풀어보는 고전 문제 43선 ,http://book.naver.com/bookdb/book_detail.php?bid=15813406,https://bookthumb-phinf.pstatic.net/cover/158/134/15813406.jpg?type=m1&udate=20200424,데이비드 코펙,25000,22500,한빛미디어,20191201,1162242469 9791162242469,모든 예제를 파이썬으로 구현했으며 장마다 알고리즘 적용 사례와 연습 문제를 제공한 다 피보나치 수열 압축 하노이탑 이진 검색과 같은 알고리즘부터 K 평균 군집화 유전 알고 리즘 신경망 보드게임에 이르기까지 다양한 예제를 풀며 문제 해결 능력을 향상할 수 있다 
